,type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
55,position,0.9619377162629758,0.9205298013245033,0.9407783417935701,302,"[('rank', 5), ('type', 2), ('address', 1), ('result', 1), ('ranking', 1)]","[('rank', 10), ('type', 6), ('elevation', 3), ('category', 2), ('age', 1)]"
56,product,0.8235294117647058,0.7777777777777778,0.7999999999999999,18,"[('description', 2), ('company', 1)]","[('type', 2), ('code', 1), ('depth', 1)]"
57,publisher,0.7586206896551724,0.9565217391304348,0.8461538461538461,23,"[('name', 2), ('location', 1), ('album', 1), ('description', 1), ('type', 1)]","[('category', 1)]"
58,range,0.9090909090909091,0.625,0.7407407407407406,16,"[('area', 1)]","[('owner', 3), ('age', 1), ('rank', 1), ('area', 1)]"
59,rank,0.9206106870229007,0.9617224880382775,0.9407176287051482,627,"[('position', 10), ('plays', 5), ('age', 5), ('weight', 4), ('class', 3)]","[('age', 5), ('position', 5), ('weight', 3), ('region', 2), ('year', 2)]"
60,ranking,0.0,0.0,0.0,4,[],"[('rank', 2), ('result', 1), ('position', 1)]"
61,region,0.9285714285714286,0.6842105263157895,0.7878787878787878,38,"[('rank', 2)]","[('team', 2), ('state', 2), ('county', 1), ('album', 1), ('country', 1)]"
62,requirement,1.0,1.0,1.0,3,[],[]
63,result,0.9722222222222222,0.9683794466403162,0.9702970297029704,253,"[('name', 3), ('ranking', 1), ('sales', 1), ('notes', 1), ('rank', 1)]","[('class', 2), ('type', 2), ('status', 2), ('rank', 1), ('position', 1)]"
64,sales,1.0,0.8,0.888888888888889,5,[],"[('result', 1)]"
65,service,1.0,0.25,0.4,4,[],"[('notes', 1), ('brand', 1), ('name', 1)]"
66,sex,0.9552238805970149,1.0,0.9770992366412213,64,"[('gender', 3)]",[]
67,species,0.8333333333333334,0.625,0.7142857142857143,8,"[('name', 1)]","[('name', 2), ('notes', 1)]"
68,state,0.9844155844155844,0.9844155844155844,0.9844155844155844,770,"[('location', 2), ('age', 2), ('region', 2), ('city', 2), ('county', 1)]","[('capacity', 2), ('city', 2), ('type', 2), ('name', 2), ('notes', 2)]"
69,status,0.9796511627906976,0.9725829725829725,0.9761042722664734,693,"[('team', 2), ('result', 2), ('country', 1), ('location', 1), ('category', 1)]","[('notes', 5), ('class', 3), ('type', 2), ('category', 2), ('rank', 1)]"
70,symbol,0.975609756097561,0.963855421686747,0.9696969696969697,166,"[('code', 1), ('club', 1), ('album', 1), ('team', 1)]","[('code', 2), ('county', 1), ('class', 1), ('team', 1), ('rank', 1)]"
71,team,0.9348534201954397,0.959866220735786,0.9471947194719472,598,"[('country', 14), ('name', 4), ('club', 3), ('location', 3), ('county', 2)]","[('country', 6), ('type', 3), ('city', 2), ('club', 2), ('status', 2)]"
72,teamName,0.9347826086956522,0.8431372549019608,0.8865979381443299,51,"[('team', 1), ('location', 1), ('category', 1)]","[('team', 2), ('notes', 2), ('city', 2), ('club', 1), ('state', 1)]"
73,type,0.9182098765432098,0.952,0.9347996857816181,625,"[('notes', 7), ('position', 6), ('name', 5), ('category', 5), ('team', 3)]","[('name', 8), ('category', 7), ('album', 3), ('position', 2), ('affiliate', 1)]"
74,weight,0.9912434325744308,0.9809358752166378,0.9860627177700347,577,"[('rank', 3), ('company', 1), ('notes', 1)]","[('age', 4), ('rank', 4), ('class', 1), ('type', 1), ('elevation', 1)]"
75,year,0.9892638036809815,0.9877488514548239,0.9885057471264368,653,"[('class', 3), ('rank', 2), ('location', 1), ('day', 1)]","[('rank', 3), ('class', 2), ('notes', 1), ('location', 1), ('state', 1)]"
